事件标题,时间,城市,链接,罪种,置信度
Corsa Sedan é tomado por assalto na zona rural de Santo André; criminosos fugiram com destino ignorado - Paraíba Mix,2026-06-23T02:02:31+00:00,PB / Santo André / zona rural,https://news.google.com/rss/articles/CBMizAFBVV95cUxPV0FOS0l4WTNaUURBamhoM1VRUUM0QzZLQW80dXJkcXVGMXZPYjR1R1ZFWkt2ZzdRTjBTMzVwMzB3VmE5Z0ZseFVSNkFEOTZUOTV0WHZJcXBYWExQcWlJZ29ocnd5VnlNeFlUeFBCeTFtdERRdFBIMXpGUTZrVHRZdFJwSEJocWN3WFV4MDUyWEhnUXh6ejF0MlN2aEFkWHQ2VHQxa1hZV1NKdzRFVnZSYkpyWXN1SGthSnN2dDZwQ3BySG5FS0lvZDA2NmI?oc=5,roubo,100
Trs instrutores so indiciados por morte de jovem lanada sem corda em SP,2026-06-22T23:02:13-03:00,SP / Limeira,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2026/06/22/policia-civil-indiciamento-caso-rope-jump-sp.ghtm,homicidio,100
Mortes de PC Farias e Suzana completam 30 anos com processo encerrado e memria em disputa,2026-06-22T23:00:00-03:00,AL / Maceió / Jatiúca,https://redir.folha.com.br/redir/online/poder/rss091/*https://www1.folha.uol.com.br/poder/2026/06/mortes-de-pc-farias-e-suzana-completam-30-anos-com-processo-encerrado-e-memoria-em-disputa.shtml,homicidio,100
Quem é Karina Kufa? Advogada que vai se casar com Thiago Brennand em presídio,2026-06-23T01:52:03+00:00,SP / Potim,https://diariodopara.com.br/cotidiano/quem-e-karina-kufa-advogada-que-vai-se-casar-com-thiago-brennand-em-presidio/,outros,85
Denúncia coletiva de servidores de UPA contra Cavala é arquivada,2026-06-22T21:47:00-04:00,MS / Dourados,https://www.campograndenews.com.br/cidades/interior/denuncia-coletiva-de-servidores-de-upa-contra-cavala-e-arquivada,outros,95
PF prende dois investigados por tráfico internacional de armas e drogas em Belém,2026-06-23T01:36:13+00:00,PA / Belém,https://diariodopara.com.br/policia/pf-prende-dois-investigados-por-trafico-internacional-de-armas-e-drogas-em-belem/,policia,95
Pai encontra filho ferido em mata após jovem relatar sequestro,2026-06-22T21:26:00-04:00,MS / Ladário,https://www.campograndenews.com.br/cidades/interior/pai-encontra-filho-ferido-em-mata-apos-jovem-relatar-sequestro,sequestro,100
"'Mulheres têm outras atribuições em casa', diz Zema ao anunciar que, se eleito, pretende exigir estudo só dos homens no Bolsa Família",2026-06-23T01:09:31+00:00,DF / Brasília,https://g1.globo.com/politica/eleicoes/2026/noticia/2026/06/22/mulheres-tem-outras-atribuicoes-em-casa-diz-zema-ao-anunciar-que-se-eleito-pretende-exigir-estudo-so-dos-homens-no-bolsa-familia.ghtml,outros,100
Idoso de 86 anos fica em estado grave após ser atropelado por caminhão na BR-364 no Acre,2026-06-23T01:02:39+00:00,AC / Bujari,https://g1.globo.com/ac/acre/noticia/2026/06/22/idoso-de-86-anos-fica-em-estado-grave-apos-ser-atropelado-por-caminhao-na-br-364-no-acre.ghtml,veiculo,95
Jovem é preso por divulgar montagem sexual com foto de adolescente,2026-06-23T00:51:59+00:00,DF / Brasília,https://www.metropoles.com/distrito-federal/jovem-e-preso-por-divulgar-montagem-sexual-com-foto-de-adolescente,menor,95
Polícia apreende 6kg de skunk em encomenda enviada do RJ para Fortaleza,2026-06-23T00:38:14+00:00,CE / Fortaleza,https://g1.globo.com/ce/ceara/noticia/2026/06/22/policia-apreende-6kg-de-skunk-em-encomenda-enviada-do-rj-para-fortaleza.ghtml,policia,95
Laudo no aponta leses em criana que teria sofrido abuso no clube do Palmeiras,2026-06-22T21:36:00-03:00,SP / São Paulo / Perdizes,https://redir.folha.com.br/redir/online/cotidiano/rss091/*https://www1.folha.uol.com.br/cotidiano/2026/06/laudo-nao-aponta-lesoes-em-crianca-que-teria-sofrido-abuso-no-clube-do-palmeiras.shtml,estupro,95
Julgamento dos PMs acusados de executar Vinicius Gritzbach é anulado; delator do PCC foi morto no aeroporto de Guarulhos em 2024,2026-06-23T00:35:48+00:00,SP / Guarulhos,https://g1.globo.com/jornal-nacional/noticia/2026/06/22/julgamento-dos-pms-acusados-de-executar-vinicius-gritzbach-e-anulado-delator-do-pcc-foi-morto-no-aeroporto-de-guarulhos-em-2024.ghtml,homicidio,95
Vídeo: cão da raça Shih Tzu é resgatado após ficar preso em cerca elétrica,2026-06-23T00:28:59+00:00,CE / Barbalha,https://g1.globo.com/ce/ceara/noticia/2026/06/22/video-cao-da-raca-shih-tzu-e-resgatado-apos-ficar-preso-em-cerca-eletrica.ghtml,outros,95
"Coronel, chefe do tráfico na Favela do Muquiço, é preso no Hospital de Acari",2026-06-23T00:26:39+00:00,RJ / Rio de Janeiro / Acari,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/22/coronel-chefe-do-trafico-na-favela-do-muquico-e-preso-no-hospital-de-acari.ghtml,trafico,95
"Ministério Público estuda investigar reajuste de 11,93% na tarifa de água em Cuiabá",2026-06-23T00:15:37+00:00,MT / Cuiabá,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/ministerio-publico-estuda-investigar-reajuste-de-1193percent-na-tarifa-de-agua-em-cuiaba.ghtml,fraude,85
"Cadela resgatada após sofrer zoofilia é morta a tiro em Tucumã, sul do Pará",2026-06-23T00:10:57+00:00,PA / Tucumã,https://g1.globo.com/pa/para/noticia/2026/06/22/cadela-resgatada-apos-sofrer-zoofilia-e-morta-a-tiro-em-tucuma-no-para.ghtml,outros,95
Suspeito de lavagem de dinheiro é preso com R$ 700 mil em espécie na Bahia,2026-06-23T00:09:58+00:00,BA / Porto Seguro,https://g1.globo.com/ba/bahia/noticia/2026/06/22/suspeito-de-lavagem-de-dinheiro-e-preso.ghtml,fraude,95
Julgamento do caso Gritzbach é anulado e terá de recomeçar,2026-06-22T21:00:51-03:00,SP / São Paulo,https://www.cartacapital.com.br/justica/julgamento-do-caso-gritzbach-e-anulado-e-tera-de-recomecar/,homicidio,100
Dono de pizzaria é morto a tiros no estabelecimento comercial em Fortaleza,2026-06-22T23:51:16+00:00,CE / Fortaleza / Henrique Jorge,https://g1.globo.com/ce/ceara/noticia/2026/06/22/dono-de-pizzaria-e-morto-a-tiros-no-estabelecimento-comercial-em-fortaleza.ghtml,homicidio,100
Dono de pizzaria é morto a tiros no estabelecimento comercial em Fortaleza - G1,2026-06-22T23:51:16+00:00,CE / Fortaleza,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQTm9ZRkJZTlBpVENhNE00aTJIcUMyQmgzYWo2QlJlQ1F5b2JjNG4tdG5QUG1GMDg3V2hqdm9FQ2FmUmdMd19ITmdvWDFVQlRNMThfbVRmVGhEYzJwTmFQOU5BWnJXUjl3M25ucVhMQWtSNlFLckg0MVlFSUpfaDBvRUYtU0ZiaWZReXc1eUV2UU5PMXczQVo3VDdBNmJjRFoxdjVpWEJ5TEZUQmlic3VsX0cwOW53My1WQUNFeTloZEdWckl4V25vMNIB1wFBVV95cUxQT3NyU1RGdnVlVXc4T2txdjJkRktpNDFNNkowcDhLUEc4Z3k1cF9rWGdDTldZcjhZeTVkMFE4azlUSkM5MUF3OHhMM2pQWFd0b05wN3dLTDQzME5oQnR0VVpqVmJJTGdoOHI0dUl6YzRUQk5icENCakhoRUpOc295QkVPUzNzMHIwYTV2c2RzdFNiMC1TbWJSTGFwaV9xc0hRMVpBWnV4T1B0TWRMbElnZGQ1bXFhRXV2X0N4UFNrMlA4ekQ2S003Z2tTdXdXZG9UYWh5emtrRQ?oc=5,homicidio,100
Trio é preso por sequestro de casal com pedido de R$ 2 milhões em resgate no Pará,2026-06-22T23:36:03+00:00,PA / Barcarena,https://g1.globo.com/pa/para/noticia/2026/06/22/policia-prende-suspeitos-de-sequestrar-casal-em-barcarena-e-pedir-r-2-milhoes-em-resgate-no-pa.ghtml,sequestro,100
Premiê de Quebec reafirma que Montreal é segura após ataque a tiros,2026-06-22T23:35:56+00:00,QC / Montreal,https://www.cnnbrasil.com.br/internacional/premie-de-quebec-reafirma-que-montreal-e-segura-apos-ataque-a-tiros/,violencia,85
"Ex-professor da USP vira réu por estupro, assédio e importunação",2026-06-22T23:34:58+00:00,SP / São Paulo,https://www.metropoles.com/sao-paulo/ex-professor-da-usp-vira-reu-por-estupro-assedio-e-importunacao,estupro,100
"Light anuncia captação de R$ 1,2 bi para aumento de capital",2026-06-22T23:33:50+00:00,RJ / Rio de Janeiro,https://www.cnnbrasil.com.br/infra/light-anuncia-captacao-de-r-12-bi-para-aumento-de-capital/,fraude,80
PM de folga reage e mata em suspeito dentro de Faculdade em SP,2026-06-22T23:33:39+00:00,SP / São Paulo / Capão Redondo,https://www.cnnbrasil.com.br/nacional/sudeste/sp/pm-de-folga-reage-e-atira-em-suspeito-dentro-de-faculdade-em-sp/,policia,95
Júri popular de PMs acusados de matar delator do PCC é anulado,2026-06-22T23:33:19+00:00,SP / Guarulhos,https://istoe.com.br/juri-popular-pms-acusados-matar-delator-pcc-anulado,homicidio,95
"“Recebeu voz de abordagem e tentou sacar a arma”, diz delegada sobre assalto que terminou com morte em Pelotas - GZH",2026-06-22T23:28:59+00:00,RS / Pelotas,https://news.google.com/rss/articles/CBMirgJBVV95cUxONlVyMk05Ukhya2lTN3E2RFlqTGx6dVRkdU1lS041NFYtZm9Xb3Z5X05JMkJuWERUc01oT3N5dVV4aWFnMVpLcEx0QU1DY2FCQ1JWQmhmS0x6RDVCMVFoOE9lVy00blZqUkR0T2xyN1BWN1ZCYmRoZFhuMnlZQWhjc0F6WS1xbFZWd1VKbTBQbGR6VVZ5aTRXZC1NRlVJWVh0Wm9HVVd5VFpOQ3ozOTMwY2EyaTJzYXl3cTV4Q05IRVRSM3hfVzFJU0xra0hvUmFPcjl6UnZycjBiUkdCX2s0MXMyR094bWJ1S2loOXE4Sl9Fd2dlVWhULTdXbTBhN2tiNW1nS0RiTExIeVlNbzBXNjQxQ2s2RGt6MTBqQ2FFOE03UFI2bGRmV0FtYm9oQQ?oc=5,homicidio,100
Fux mantém exclusividade do BRB sobre depósitos judiciais do Tribunal de Justiça da Bahia,2026-06-22T23:23:42+00:00,BA / Salvador,https://g1.globo.com/df/distrito-federal/noticia/2026/06/22/fux-concede-liminar-e-mantem-exclusividade-do-brb-para-depositos-judiciais-do-tj-da-bahia.ghtml,outros,95
Suspeito é baleado e morto em estacionamento de centro universitário,2026-06-22T23:23:24+00:00,SP / São Paulo,https://www.metropoles.com/sao-paulo/suspeito-e-baleado-e-morto-em-estacionamento-de-centro-universitario,homicidio,95
MP denuncia dois suspeitos de latrocínio de motorista de aplicativo em Porto Alegre - GZH,2026-06-22T23:18:58+00:00,RS / Porto Alegre,https://news.google.com/rss/articles/CBMiggJBVV95cUxOaEt3bS1xZlNWQS1HQV9faUJFdXVHMl9yTVh3bkVYbFc2enlGZW92SWJBYjFYVzZHZkpJUGQxWmhGRjlRTEgwcS1sb0piUWFMaEMzVm1KM1FQdzFoUjR6RHNyMHp4eW5TWEo2Z1RobDZ2cnBQNXE1aGVaakhmempnRnBUYmFTQk9fZkRBVzhvMzJ5V1BHN3dZZ184Zkl0LVFJaWNIZ3czRlRqNHBYZlV1bUExRDE3b01QYURmYThLWm8yRmpUZGdoUGNSNnhoYWxLaGJjM2RyLWR0WkpUMmtnLS1NTFpDYUJFWFRycWxNenVLT2s3THNNTG5oY1RGWkxNN2c?oc=5,homicidio,100
Vídeo mostra momento em que criminosos rendem funcionária e roubam joalheria no Shopping Crystal - Banda B,2026-06-22T23:01:00+00:00,PR / Curitiba,https://news.google.com/rss/articles/CBMijwFBVV95cUxPU3NTajdZUGxIZzAzUjlZWkxhOWJpdUZpcU5XT2UteTQtODY5RlRCRWdnNUsxblpSRkJmcjNPQUROb0NtYjJ3RVVHbHBnX1pJdmd4YTY1U0tlN193VG5WMjhtSVIxcDJMUWs2d1NXOUpWX0ZTZXo3TE1kOUhjU29mbVBva3RibU00R1BHdUQ5d9IBlAFBVV95cUxOVl81SkVmVnMxSHBRLWNQSVNwU2ZhaHZ3MXY5SnNVZGJvNHZraDJSQWVKX01KajhNZXN3bk81M2ZfejRSdVE0dFAxbjlnR3Q5RWtGZWhqWjhITDM1blRHd1c0aUhDUjNhNGVMX3FNZmNnNHFoZ1ZyR1JqTFN4c2lYckhfUVFac2w1YWQ5dUFjZURUMThm?oc=5,roubo,100
Homem morre baleado em estacionamento de faculdade na zona sul de So Paulo,2026-06-22T19:59:00-03:00,SP / São Paulo / Capão Redondo,https://redir.folha.com.br/redir/online/cotidiano/rss091/*https://www1.folha.uol.com.br/cotidiano/2026/06/homem-morre-baleado-em-estacionamento-de-faculdade-na-zona-sul-de-sao-paulo.shtml,homicidio,100
"'Eu tô dilacerada', diz mãe de jovem morta a facadas em Rocha Miranda; ex-marido é suspeito",2026-06-22T22:58:37+00:00,RJ / Rio de Janeiro / Rocha Miranda,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/22/eu-to-dilacerada-diz-mae-de-jovem-morta-a-facadas-em-rocha-miranda-ex-marido-e-suspeito.ghtml,homicidio,100
Fim dos alagamentos: o que muda no Bairro da Paz com a entrega do Canal Mangabeira,2026-06-22T22:50:03+00:00,BA / Salvador / Bairro da Paz,https://atarde.com.br/politica/jeronimo-entrega-obra-que-promete-fim-de-alagamentos-no-bairro-da-paz-1392959,outros,100
Incêndio atinge casarão no centro de Salvador,2026-06-22T22:48:08+00:00,BA / Salvador / Barris,https://atarde.com.br/salvador/incendio-atinge-casarao-no-centro-de-salvador-1392958,outros,95
Concurso público da Assembleia Legislativa do Amazonas é homologado com previsão de início de convocação em julho,2026-06-22T22:43:44+00:00,AM / Manaus,https://g1.globo.com/am/amazonas/noticia/2026/06/22/concurso-publico-da-assembleia-legislativa-do-amazonas-e-homologado-com-previsao-de-inicio-de-convocacao-em-julho.ghtml,outros,90
SSP-PI prende homem condenado por roubo majorado na zona Sudeste de Teresina - A10+,2026-06-22T22:36:10+00:00,PI / Teresina / Zona Sudeste,https://news.google.com/rss/articles/CBMixwFBVV95cUxPUjQyZW5QLTNtQk5IbUlFSV9IUUVpR3VDUmJJZXkyMFMyMmZmZ3lHTHlyd2o0OUJvcUlYc2NrUHhoS2plMVI1bFFkeVRzLUtaMHVXQldwUVhRTjhOcDh4U3RfSEt0OURsTnY4eW40VjkwNmNaVzFBM2UzaURDdXlTQTRkc3otcnYyTnRwVFdYSW5JYjlfSXpfZTBnUnNiWTdKcEdJSHpXVHZpcFdvSkk2UVVfQW8xVk5pNlVHRUg0RUt2VG9OZnFJ0gHHAUFVX3lxTE9SNDJlblAtM21CTkhtSUVJX0hRRWlHdUNSYklleTIwUzIyZmZneUdMeXJ3ajQ5Qm9xSVhzY2tQeGhLamUxUjVsUWR5VHMtS1owdVdCV3BRWFFOOE5wOHhTdF9IS3Q5RGxOdjh5bjRWOTA2Y1pXMUEzZTNpREN1eVNBNGRzei1ydjJOdHBUV1hJbkliOV9Jel9lMGdSc2JZN0pwR0lIeldUdmlwV29KSTZRVV9BbzFWTmk2VUdFSDRFS3ZUb05mcUk?oc=5,roubo,95
Jri do caso Gritzbach  anulado aps defesa abandonar plenrio,2026-06-22T19:36:00-03:00,SP / São Paulo,https://redir.folha.com.br/redir/online/cotidiano/rss091/*https://www1.folha.uol.com.br/cotidiano/2026/06/juri-do-caso-gritzbach-e-anulado-apos-defesa-abandonar-plenario.shtml,homicidio,95
Receita Federal vai indenizar empresa por apreender caminhão indevidamente,2026-06-22T18:35:00-04:00,MS / Corumbá,https://www.campograndenews.com.br/brasil/cidades/receita-federal-vai-indenizar-empresa-por-apreender-caminhao-indevidamente,veiculo,75
Polícia divulga vídeo de investigado por matar homem em Divinópolis; ele pode estar no Norte de MG,2026-06-22T22:33:07+00:00,MG / Divinópolis / Planalto,https://g1.globo.com/mg/grande-minas/noticia/2026/06/22/policia-divulga-video-de-investigado-por-matar-homem-em-divinopolis-ele-pode-estar-no-norte-de-mg.ghtml,homicidio,100
Câmeras de monitoramento registram fuga dos criminosos após assalto a joalheria do Shopping Crystal - CBN Curitiba,2026-06-22T22:30:28+00:00,PR / Curitiba,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOS2xTQm51aUVuZEZxOXZHMWZLWFk3V1lUVC1iSkZSYkpqc1lmeGlOV2RmWi1McDlZNWl2LTV0dURzMjNvWDAybXNSS0R6SjhyWEl3X2duWjI0RndvclM5ajJxdUswRndMOXBVNmlkQUJ2TjNNU21jOENnZ1o2d1lYT0QtMmNkaFhqNEZJQU5uMW1ydDdWZUNIdFFLVHNNY3Y3dkxkWG5pYzBYSUdZNWFnTmlFdVlUVmhuSVpJdEtfUXk1dkZxRUN5RGQ2OFV2OFN6ZHc?oc=5,roubo,95
Vídeo mostra assalto contra pedestres na Zona Norte de Manaus; suspeitos foram presos,2026-06-22T22:28:22+00:00,AM / Manaus / Nova Cidade,https://g1.globo.com/am/amazonas/noticia/2026/06/22/video-mostra-assalto-contra-pedestres-na-zona-norte-de-manaus-suspeitos-foram-presos.ghtml,roubo,100
Vídeo mostra assalto contra pedestres na Zona Norte de Manaus; suspeitos foram presos - G1,2026-06-22T22:28:22+00:00,AM / Manaus / Zona Norte,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPd3d5M2xrck5tNmlQQjhSb29iYVl1RkhVVXpOOVFMdGNmdk5KVnp2R2lKM0RSYUlDTU9pa0Rvb0U5cHlFYVBaR19OR21iUEVNU3Q1S0t4d1c5cjNNSUoyRTgzNG9DUXo4c3FSZENjTmkxaGczNVY1U3VocG1CVTI4bEZDb3RFY2liRjZwbTZBeFNza1lqcTR6Z3FNdzAzZjlLUWNZYXNHWHQ5TlVIQU1rc0NfZnNYNFlKT05IdW5FMDZiR1JIRmJ2Rk8zdzVadElvbTVlUWpxMVZhUdIB6AFBVV95cUxPOGdWZHVYb19oTTZJZDcwYVBHMk5CWExFYndKRURUT29YOUNLSUJlS19kZ29lOG9YTUkyX1JJUUJOWW5WQnYxUWU0bEpkdTgxNERHMURQQjE4VUhIMzQyN05EdV9hZXZsbVY5a3diNWdIY2RraENXd2ZFNzVRaEkxSHZudlJEcWRHMzFHYVdIMjRNVUN2VS1lSXRmemxoR0NfaEhPZGtpUDdBQmRxUmJUQlJfV3h3SFQ1Q3gzdHdfWFUyMW96b1ZXbDhiMFZpRnVVS1E0S3F5dWRnZXY2c09pXzJWYUc5N2Qx?oc=5,roubo,95
Família busca por adolescente desaparecida há 26 dias a caminho da escola no Amapá,2026-06-22T22:28:10+00:00,AP / Macapá / Marabaixo,https://g1.globo.com/ap/amapa/noticia/2026/06/22/familia-busca-por-adolescente-desaparecida-ha-26-dias-a-caminho-da-escola-no-amapa.ghtml,menor,95
Justiça do Rio mantém condenação de segurança do bicheiro Bid pela morte do patrão,2026-06-22T22:23:53+00:00,RJ / Rio de Janeiro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/22/tj-rj-recurso-seguranca-bicheiro-bid.ghtml,homicidio,100
"Filho mata mãe, a decapita e atitude após o crime choca até policiais: “Matou e colocou uma carne para descongelar”, disse sargento - CGN",2026-06-22T22:21:00+00:00,PR / Cascavel,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOYVBSalBfWDhKSk5vSVIyWWc4YmdVOHJBNkh6RVJsejZYazRGd0dtV1JiX0xLNVpFdVdtWU9PcmROT0U5M0NYY0RPZlI5VGlQdVZZYVEtZ0JQVkxsR0JreTlEYXhjYnVIUDJXOTVXWjNjODNmQm1SUnB6alNtVWQxby1yb1dkbnJ1NWdjQ194cG5fM1JrWHEtYUlUVDc3WUxTTEhiVkRFemRvdzNpSmZpLUIydHZNU0RVbFVPWkNQdURVZmo5dkk3N0dieEcwSmg4RC1kQlB5ZTJOZ0Vzb1NjeW9Na21DZlZmSmlmalZYVzhMREHSAfgBQVVfeXFMUFVzX21VTzQtX0ZPQnZLTmc3UWdTRWE0OGxrcjdqelpCUzV2dU50UTlCTlhJNGhETTAwbEpQQTExNlRUSEZJSjZmZnVBajFMMGVySExKXzJLcEc5ZUlGLU5FOTFOVGU4Qjd5ZUpHMUhHdERLOGt0WXFDSERNTmNfeHdHY29XbkpucnoyZ1VWc1NzNXFQY3czc3MyRjAzMW9BOHZJdnRvdnhoRG8tNUhCVUV4QWd6VVdBVXlZM2ZaVkh2YzdCN0JudHpvWEhUTWRVRGJLM1lLRmU4X0FjZUhmTUJXb2NFdFVKbmdNTkxqeTMzNXR4NFVwWjQ?oc=5,homicidio,100
"Vendedor de milho é morto a tiros no meio da rua em Casa Amarela, no Recife - Diario de Pernambuco",2026-06-22T22:20:00+00:00,PE / Recife / Casa Amarela,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNbldZNXhFSjdhVzhKcXZRRlpjMnpSeTZxS3BjdzVJUjJBaEZYUktpSnVoaDIwanBES2x3Qk9Uc1Zlb3hTOUJMRzhKMHlFQ3M2c1pKblJSOVFaZGJkSl85ZG5fT2lEaWI1VDBhMTRIQ3R0MDVkVjgzdmpuUnpuTTdDODFIcWk1c1ZZdWJxb2ZuRkdIZk8yN1lKU1UyWjNmLUlfQl9EMVlQWUF6OVRhQlhIWFVJOUk4UGQwa05VNi0zNURnWHpwZ3hTX0ZnalZ2QlVyWWNxT05fZVFrQTZ5WXd3?oc=5,homicidio,100
Influenciador registra correria após assalto a joalheria em shopping de Curitiba - CBN Curitiba,2026-06-22T22:19:54+00:00,PR / Curitiba,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOWk9May16azAyQVdjWFdlRGNZcmlZZ3RNNU9sZnZicDk3S1ZiNk8zeFZYS0hxd0dtYXkwLWxtM0wzZ1dNMmhsLV92Sm1XLURiUlBHWXd1ZUxRV2htQmxxR0NMckpSR0Mtb19CcWN2Z0xCZDlaWjA5MUtORnRVN1VrcndrZDV4dkF5Z3dqVDk4dlJ5Ym1PcnBybVMyVVc2ZHFaNTBkem9hRnFVWUd3cTNISUNlelNEdEdH?oc=5,roubo,100
Defesa de PMs acusados de assassinar Gritzbach abandona plenário após briga com promotor e júri é anulado,2026-06-22T22:17:49+00:00,SP / Guarulhos,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/22/caso-gritzbach-briga-entre-promotor-e-advogados-de-pms-acusados-de-assassinatos-marca-1o-dia-de-juri.ghtml,homicidio,95
Diocese denuncia atraso de R$ 20 milhões em repasses do governo a hospital e casa de acolhida no Acre,2026-06-22T22:17:01+00:00,AC / Rio Branco,https://g1.globo.com/ac/acre/noticia/2026/06/22/diocese-denuncia-atraso-de-r-20-milhoes-em-repasses-do-governo-a-hospital-e-casa-de-acolhida-no-acre.ghtml,outros,90
"Dez meses após Justiça devolver vaga, candidato 'reprovado' em banca racial no CNU ainda tenta tomar posse",2026-06-22T22:15:13+00:00,DF / Brasília,https://g1.globo.com/df/distrito-federal/noticia/2026/06/22/dez-meses-apos-justica-devolver-vaga-candidato-reprovado-em-banca-racial-no-cnu-ainda-tenta-tomar-posse.ghtml,outros,95
Técnica de enfermagem é presa por extorquir família de paciente em UTI,2026-06-22T22:14:51+00:00,DF / Brasília,https://www.metropoles.com/distrito-federal/entorno/tecnica-de-enfermagem-e-presa-por-extorquir-familia-de-paciente-em-uti,fraude,95
Suspeito de matar mulher trans é preso sete meses depois do crime em Nova Mutum,2026-06-22T22:07:14+00:00,MT / Nova Mutum / Zona Rural,https://g1.globo.com/mt/mato-grosso/noticia/2026/06/22/suspeito-de-matar-mulher-trans-e-preso-sete-meses-depois-do-crime-em-nova-mutum.ghtml,homicidio,100
Exposição em museu usa IA para dar voz a heróis do hino de Mato Grosso do Sul,2026-06-22T18:07:00-04:00,MS / Campo Grande,https://www.campograndenews.com.br/educacao-e-tecnologia/exposicao-em-museu-usa-ia-para-dar-voz-a-herois-do-hino-de-mato-grosso-do-sul,outros,100
